project,lines,code,count
curator,87933,53846,703
opennlp,134513,78884,1102
accumulo,563235,404573,2117
crunch,88601,55750,730
freemarker,151690,95913,909
tez,275219,197276,1166
jclouds,656210,401015,5874
commons-configuration,106410,51523,466
inlong,646162,420369,4681
commons-jexl,61460,38957,216
click,113085,47903,461
fineract,624393,425537,4865
myfaces,326603,211140,1884
httpcomponents-client,126389,76188,774
jmeter,247315,148820,1402
openmeetings,111271,71658,826
qpid-broker-j,537878,391039,3082
nutch,96535,58940,607
deltaspike,139459,79407,1714
cayenne,465479,280808,3892
oodt,186018,106118,1306
pinot,735148,514925,4040
james-project,702149,464007,5576
tajo,334911,225455,1860
ant-ivy,119506,77942,664
hadoop,2875295,1925489,12069
httpcomponents-core,142752,84733,953
gora,88058,51951,657
helix,290826,190997,1523
knox,219300,149029,1606
oozie,283344,193965,1394
openjpa,745747,461827,4722
solr,979350,709954,4312
karaf,195233,129155,1628
mina-sshd,216536,138672,1378
maven,197087,117799,1533
pig,400926,270058,1793
jackrabbit,589090,332108,2946
gobblin,456782,279617,3535
commons-io,104391,53432,515
pulsar,854959,602504,4214
jena,1083093,664479,6687
flink,2485037,1654707,14180
skywalking,181267,118277,1999
geode,2004069,1350383,8580
wicket,427057,220300,3307
iotdb,1059235,790862,5295
logging-log4j2,339259,207873,2535
calcite,644592,433665,2421
cocoon,487610,296063,2811
bookkeeper,421633,279596,2354
commons-compress,121330,72801,624
druid,1621463,1210951,8199
cxf,1030414,692905,7488
hop,982995,695063,3954
hive,2308126,1686400,8083
commons-net,56301,26759,313
commons-math,259551,148072,1157
pdfbox,267831,161771,1273
netbeans,7979291,5393873,39438
cassandra,1094200,769883,5043
phoenix,575578,430834,2330
commons-lang,182028,95193,499
syncope,393115,260319,3288
empire-db,101856,62054,449
metamodel,99990,62306,813
tika,271114,172481,1745
nifi,1199927,799159,8135
xmlbeans,217585,133153,1285
lucene,1246072,867469,5640
drill,948121,630159,4680
commons-vfs,77825,37552,589
storm,407505,291263,2148
causeway,490583,267005,4951
commons-jcs,100963,53570,582
tomee,816162,497287,6220
parquet-java,181052,125832,863
flume,97824,65486,565
tomcat,608030,359669,2603
activemq,674168,420184,4382
manifoldcf,343819,230779,1366
commons-collections,134347,70426,624
commons-text,52131,27397,201
qpid-jms-amqp-0-x,136802,94818,697
hbase,1249074,868110,4985
openwebbeans,138857,82650,1551
roller,97421,54530,618
poi,708212,427318,3719
